"Wavelength, µm","k"
4.0486,3.017
4.065,3.024
4.0816,3.028
4.0984,3.034
4.1152,3.039
4.1322,3.045
4.1494,3.054
4.1667,3.064
4.1841,3.073
4.2017,3.077
4.2194,3.08
4.2373,3.086
4.2553,3.093
4.2735,3.101
4.2918,3.107
4.3103,3.115
4.329,3.124
4.3478,3.134
4.3668,3.145
4.386,3.153
4.4053,3.16
4.4248,3.166
4.4444,3.174
4.4643,3.181
4.4843,3.191
4.5045,3.199
4.5249,3.208
4.5455,3.217
4.5662,3.225
4.5872,3.231
4.6083,3.239
4.6296,3.249
4.6512,3.258
4.6729,3.269
4.6948,3.277
4.717,3.284
4.7393,3.292
4.7619,3.302
4.7847,3.307
4.8077,3.316
4.8309,3.327
4.8544,3.335
4.878,3.342
4.902,3.351
4.9261,3.359
4.9505,3.366
4.9751,3.376
5,3.399
5.0251,3.421
5.0505,3.437
5.0761,3.444
5.102,3.452
5.1282,3.463
5.1546,3.474
5.1813,3.483
5.2083,3.49
5.2356,3.498
5.2632,3.507
5.291,3.519
5.3191,3.531
5.3476,3.54
5.3763,3.549
5.4054,3.558
5.4348,3.566
5.4645,3.576
5.4945,3.589
5.5249,3.6
5.5556,3.61
5.5866,3.622
5.618,3.631
5.6497,3.643
5.6818,3.654
5.7143,3.667
5.7471,3.68
5.7803,3.69
5.814,3.701
5.848,3.715
5.8824,3.728
5.9172,3.74
5.9524,3.749
5.988,3.76
6.0241,3.768
6.0606,3.78
6.0976,3.792
6.135,3.799
6.1728,3.806
6.2112,3.815
6.25,3.829
6.2893,3.85
6.3291,3.872
6.3694,3.888
6.4103,3.895
6.4516,3.904
6.4935,3.918
6.5359,3.931
6.5789,3.943
6.6225,3.955
6.6667,3.964
6.7114,3.975
6.7568,3.989
6.8027,4.006
6.8493,4.02
6.8966,4.031
6.9444,4.043
6.993,4.061
7.0423,4.07
7.0922,4.079
7.1429,4.091
7.1942,4.107
7.2464,4.119
7.2993,4.134
7.3529,4.148
7.4074,4.161
7.4627,4.175
7.5188,4.19
7.5758,4.205
7.6336,4.219
7.6923,4.235
7.7519,4.25
7.8125,4.265
7.874,4.283
7.9365,4.297
8,4.316
8.0645,4.332
8.1301,4.356
8.1967,4.377
8.2645,4.4
8.3333,4.419
8.4034,4.434
8.4746,4.453
8.547,4.471
8.6207,4.486
8.6957,4.505
8.7719,4.528
8.8496,4.551
8.9286,4.569
9.009,4.589
9.0909,4.617
9.1743,4.64
9.2593,4.662
9.3458,4.683
9.434,4.705
9.5238,4.727
9.6154,4.751
9.7087,4.774
9.8039,4.799
9.901,4.822
10,4.844
10.101,4.863
10.2041,4.885
10.3093,4.909
10.4167,4.934
10.5263,4.966
10.6383,4.995
10.7527,5.02
10.8696,5.044
10.989,5.077
11.1111,5.112
11.236,5.144
11.3636,5.173
11.4943,5.208
11.6279,5.247
11.7647,5.286
11.9048,5.323
12.0482,5.367
12.1951,5.407
12.3457,5.449
12.5,5.491
12.6582,5.527
12.8205,5.57
12.987,5.618
13.1579,5.664
13.3333,5.705
13.5135,5.751
13.6986,5.799
13.8889,5.847
14.0845,5.898
14.2857,5.948
14.4928,6.016
14.7059,6.08
14.9254,6.134
15.1515,6.187
15.3846,6.247
15.625,6.338
15.873,6.442
16.129,6.535
16.3934,6.602
16.6667,6.661
16.9492,6.723
17.2414,6.78
17.5439,6.842
17.8571,6.904
18.1818,6.96
18.5185,7.016
18.8679,7.072
19.2308,7.137
19.6078,7.223
20,7.299
20.4082,7.406
20.8333,7.524
21.2766,7.629
21.7391,7.72
22.2222,7.818
22.7273,7.934
23.2558,8.037
23.8095,8.135
24.3902,8.232
25,8.322
25.641,8.384
26.3158,8.444
27.027,8.524
27.7778,8.625
28.5714,8.71
29.4118,8.814
30.303,8.901
31.25,8.966
32.2581,9.033
33.3333,9.117
34.4828,9.217
35.7143,9.266
37.037,9.253
38.4615,9.27
40,9.235
41.6667,9.144
43.4783,9.11
45.4545,9.101
47.619,8.938
50,8.878
52.6316,8.874
55.5556,8.794
