"Wavelength, µm","k"
0.509691132,0.435204451
0.515844145,0.424759625
0.521997144,0.414641827
0.52817015,0.404736789
0.534323144,0.395144088
0.540476158,0.385874485
0.546629171,0.377029425
0.552782195,0.368412981
0.558945187,0.359993467
0.565108184,0.351845968
0.571261194,0.343808609
0.577414214,0.335996242
0.583567237,0.328573505
0.589740215,0.32135559
0.595893212,0.31411012
0.602036246,0.306829415
0.608179276,0.30014661
0.614342279,0.293713987
0.620495299,0.287007805
0.626648289,0.28036713
0.632831265,0.273804061
0.63896431,0.268112464
0.64512732,0.26308046
0.651300292,0.257573122
0.657453303,0.251967266
0.663586345,0.246817482
0.669759337,0.241879902
0.675892361,0.237231098
0.682075361,0.232655162
0.688218388,0.227880847
0.694391355,0.223130589
0.700514421,0.218871533
0.706677388,0.215026567
0.712860397,0.210903271
0.719023392,0.206584233
0.725166404,0.202692558
0.731339397,0.198404345
0.737472418,0.194260025
0.743635438,0.190920981
0.749798435,0.187554023
0.75593145,0.184130705
0.762124441,0.180340223
0.76826747,0.17675439
0.77442045,0.173390766
0.780563476,0.169761101
0.786716523,0.166420478
0.792859539,0.163109514
0.799052483,0.160261318
0.805175519,0.157304793
0.811348519,0.155055655
0.817511506,0.153436394
0.823654573,0.150532466
0.829837503,0.148440772
0.836000532,0.146356437
0.842133591,0.142534797
0.848306571,0.139569087
0.854449572,0.138212489
0.860572629,0.137102545
0.866775592,0.135344173
0.872878634,0.132734367
0.87908163,0.128896397
0.885234599,0.127586051
0.891357663,0.12741049
0.897550623,0.125293808
0.903713632,0.124954776
0.909816695,0.122765757
0.916009653,0.118537036
0.922152706,0.115964092
0.928295714,0.114307121
0.934468713,0.112573589
0.940641712,0.111264017
0.946754729,0.107485833
0.95294772,0.104046159
1.04909367,0.086479163
1.165526725,0.070064855
1.311030739,0.051542848
1.498778544,0.036035702
1.748290137,0.023596411
1.896942515,0.017489099
2.091965336,0.012649009
2.318585853,0.010069443
2.620940933,0.008760318
2.976064527,0.008258406
3.496580273,0.009033507
3.783916877,0.009777273
4.031624304,0.011163108
4.295547504,0.013196731
4.692441882,0.017375613
5.100478351,0.022382774
5.596839199,0.030369106
6.262265374,0.045736409
6.985195831,0.068853617
7.468926954,0.089396222
8.000270201,0.123167539
8.377309962,0.154550465
8.731280805,0.191456967
9.049940689,0.23198558
9.392741472,0.284474546
9.686264643,0.337831219
10.00033775,0.40481724
10.41883928,0.506068932
10.73456168,0.592000667
11.00037161,0.66910476
11.37469609,0.774110294
11.69662146,0.859208578
12.00040491,0.926828441
12.5236553,1.001193534
12.78187499,1.021650075
13.00043904,1.024632236
13.33163306,1.011256239
13.62463598,0.98403396
14.00047283,0.931143821
15.00050669,0.780187623
15.49802343,0.697498408
16.0005404,0.623497287
16.53122499,0.55552107
17.00057412,0.503456512
17.58640956,0.448502339
18.00060789,0.414808593
18.5051026,0.379553774
19.0006416,0.349568372
19.52506889,0.322108424
20.0006755,0.30097241
21.53810572,0.248078477
23.69191662,0.197319409
26.06110824,0.160742988
28.66721876,0.133843086
31.533941,0.113367309
34.68733519,0.097332108
38.15606839,0.084469158
41.97167574,0.073939468
46.16884253,0.065170975
50.78572773,0.057762945
55.86429959,0.05142775
61.45072816,0.045954286
67.59580266,0.041184479
74.35538252,0.036997732
81.79091881,0.033300322
89.97001543,0.030018371
98.9670177,0.027092637
108.8637143,0.024474921
119.7500878,0.022540169
131.7250957,0.02041864
