"Wavelength, µm","n"
4.065,3.19
4.0816,3.198
4.0984,3.205
4.1152,3.21
4.1322,3.214
4.1494,3.219
4.1667,3.225
4.1841,3.235
4.2017,3.245
4.2194,3.251
4.2373,3.254
4.2553,3.259
4.2735,3.266
4.2918,3.272
4.3103,3.275
4.329,3.28
4.3478,3.285
4.3668,3.294
4.386,3.302
4.4053,3.312
4.4248,3.318
4.4444,3.324
4.4643,3.331
4.4843,3.337
4.5045,3.345
4.5249,3.352
4.5455,3.361
4.5662,3.368
4.5872,3.377
4.6083,3.383
4.6296,3.388
4.6512,3.396
4.6729,3.406
4.6948,3.414
4.717,3.421
4.7393,3.43
4.7619,3.438
4.7847,3.447
4.8077,3.452
4.8309,3.46
4.8544,3.469
4.878,3.477
4.902,3.482
4.9261,3.49
4.9505,3.494
4.9751,3.491
5,3.494
5.0251,3.507
5.0505,3.526
5.0761,3.541
5.102,3.554
5.1282,3.563
5.1546,3.576
5.1813,3.588
5.2083,3.602
5.2356,3.611
5.2632,3.618
5.291,3.628
5.3191,3.64
5.3476,3.652
5.3763,3.664
5.4054,3.675
5.4348,3.684
5.4645,3.693
5.4945,3.703
5.5249,3.714
5.5556,3.727
5.5866,3.737
5.618,3.748
5.6497,3.757
5.6818,3.769
5.7143,3.779
5.7471,3.793
5.7803,3.806
5.814,3.817
5.848,3.829
5.8824,3.843
5.9172,3.858
5.9524,3.874
5.988,3.886
6.0241,3.899
6.0606,3.909
6.0976,3.925
6.135,3.939
6.1728,3.951
6.2112,3.956
6.25,3.961
6.2893,3.969
6.3291,3.987
6.3694,4.01
6.4103,4.028
6.4516,4.043
6.4935,4.052
6.5359,4.069
6.5789,4.085
6.6225,4.103
6.6667,4.117
6.7114,4.13
6.7568,4.138
6.8027,4.155
6.8493,4.173
6.8966,4.19
6.9444,4.203
6.993,4.22
7.0423,4.239
7.0922,4.254
7.1429,4.266
7.1942,4.28
7.2464,4.296
7.2993,4.31
7.3529,4.327
7.4074,4.342
7.4627,4.357
7.5188,4.373
7.5758,4.386
7.6336,4.404
7.6923,4.419
7.7519,4.436
7.8125,4.448
7.874,4.464
7.9365,4.48
8,4.495
8.0645,4.506
8.1301,4.523
8.1967,4.541
8.2645,4.561
8.3333,4.586
8.4034,4.605
8.4746,4.626
8.547,4.646
8.6207,4.662
8.6957,4.678
8.7719,4.697
8.8496,4.717
8.9286,4.738
9.009,4.755
9.0909,4.775
9.1743,4.798
9.2593,4.824
9.3458,4.845
9.434,4.869
9.5238,4.889
9.6154,4.915
9.7087,4.937
9.8039,4.961
9.901,4.988
10,5.014
10.101,5.037
10.2041,5.058
10.3093,5.079
10.4167,5.098
10.5263,5.12
10.6383,5.15
10.7527,5.175
10.8696,5.195
10.989,5.216
11.1111,5.24
11.236,5.269
11.3636,5.294
11.4943,5.317
11.6279,5.342
11.7647,5.373
11.9048,5.401
12.0482,5.43
12.1951,5.463
12.3457,5.499
12.5,5.535
12.6582,5.571
12.8205,5.601
12.987,5.639
13.1579,5.678
13.3333,5.72
13.5135,5.755
13.6986,5.794
13.8889,5.833
14.0845,5.878
14.2857,5.908
14.4928,5.95
14.7059,6.005
14.9254,6.059
15.1515,6.102
15.3846,6.136
15.625,6.171
15.873,6.24
16.129,6.334
16.3934,6.434
16.6667,6.521
16.9492,6.607
17.2414,6.695
17.5439,6.779
17.8571,6.871
18.1818,6.962
18.5185,7.05
18.8679,7.128
19.2308,7.208
19.6078,7.29
20,7.367
20.4082,7.451
20.8333,7.566
21.2766,7.695
21.7391,7.83
22.2222,7.963
22.7273,8.109
23.2558,8.276
23.8095,8.45
24.3902,8.636
25,8.84
25.641,9.042
26.3158,9.233
27.027,9.409
27.7778,9.618
28.5714,9.835
29.4118,10.072
30.303,10.332
31.25,10.614
32.2581,10.868
33.3333,11.156
34.4828,11.487
35.7143,11.876
37.037,12.246
38.4615,12.621
40,13.029
41.6667,13.396
43.4783,13.742
45.4545,14.194
47.619,14.597
50,14.955
52.6316,15.416
55.5556,16.092
