"Wavelength, µm","n"
0.002640279,0.99787251
0.002645299,0.99786385
0.00265027,0.99785614
0.00265531,0.99784857
0.00266028,0.99784047
0.00266527,0.99783342
0.00267028,0.99782427
0.0026753,0.9978158
0.002680291,0.99780919
0.002685251,0.99780145
0.002690301,0.99779419
0.002695291,0.99778501
0.002700311,0.99777557
0.002705281,0.99776884
0.002710302,0.99776019
0.002715262,0.99775275
0.002720312,0.99774326
0.002725272,0.99773315
0.002730292,0.9977256
0.002735282,0.99771723
0.002740293,0.99770985
0.002745283,0.99769949
0.002750273,0.9976899
0.002755273,0.99768289
0.002760313,0.99767529
0.002765303,0.99766778
0.002770264,0.99765742
0.002775284,0.99764554
0.002780304,0.9976357
0.002785294,0.99762794
0.002790284,0.9976157
0.002795304,0.99760313
0.002800295,0.99758863
0.002810465,0.99757187
0.002820475,0.99757001
0.002830486,0.9975595
0.002840506,0.99754464
0.002850486,0.99752929
0.002860497,0.99751611
0.002870477,0.9975032
0.002880457,0.99748908
0.002890478,0.99747132
0.002900428,0.99745609
0.002910538,0.9974435
0.002920519,0.99742452
0.002930469,0.99740471
0.002940509,0.9973855
0.00295053,0.99737045
0.00296051,0.99735752
0.00297049,0.99734064
0.002980411,0.99732282
0.002990521,0.99730812
0.003000531,0.99729841
0.003010512,0.9972811
0.003020462,0.99726281
0.003030512,0.99724703
0.003040553,0.99723095
0.003050503,0.99721803
0.003060483,0.99720279
0.003070434,0.99718462
0.003080544,0.99716487
0.003090494,0.99714693
0.003100415,0.99713134
0.003110525,0.99711729
0.003120475,0.99710016
0.003130516,0.997081
0.003140496,0.99705912
0.003150446,0.99704154
0.003160497,0.99702806
0.003170537,0.99700728
0.003180457,0.99698494
0.003190508,0.99696737
0.003200488,0.9969543
0.003210498,0.99693733
0.003220509,0.99691797
0.003230499,0.99689992
0.003240479,0.99688257
0.00325049,0.99686489
0.00326054,0.99684721
0.00327052,0.99683066
0.003280501,0.99681458
0.003290451,0.99679794
0.003300491,0.99678136
0.003310542,0.99676574
0.003320492,0.99675014
0.003330472,0.99673471
0.003340523,0.9967162
0.003350563,0.99669928
0.003360483,0.99668497
0.003370524,0.99666901
0.003380444,0.99665347
0.003390555,0.99663781
0.003400505,0.99662136
0.003410485,0.99660723
0.003420505,0.99659387
0.003430516,0.99657853
0.003440526,0.99656474
0.003450507,0.9965463
0.003460487,0.99652671
0.003470447,0.99651273
0.003480518,0.99649967
0.003490558,0.99648606
0.003500478,0.99647011
0.003510499,0.99645189
0.003520539,0.99643375
0.003530519,0.99641946
0.00354047,0.99640729
0.00355052,0.99638799
0.00356053,0.99636832
0.003570511,0.99635459
0.003580501,0.99634014
0.003590511,0.99632432
0.003600482,0.99630705
0.003610542,0.99629245
0.003620542,0.99627829
0.003630563,0.99626055
0.003640483,0.99624595
0.003650493,0.99622984
0.003660544,0.99621015
0.003670494,0.9961952
0.003680534,0.99618165
0.003690485,0.99616383
0.003700565,0.99614594
0.003710515,0.99612984
