# wavelength[nm] Qabs--0.0nm[1] Qabs--9.0nm[1] Qabs--17.0nm[1] Qabs--26.0nm[1] Qabs--35.0nm[1] Qabs--CeO2 Solar Irradiance[W/m^2/nm] BB intensity@1300K[W/m^2/nm]
2.800000000000000000e+02 1.219971925020217896e+00 1.590712964534759521e+00 1.669278860092163086e+00 1.638872027397155762e+00 1.634891510009765625e+00 1.639351487159729004e+00 2.536099999999999868e-26 4.515082739444385357e-10
2.807673060884069969e+02 1.210878223180770874e+00 1.591692388057708740e+00 1.671406030654907227e+00 1.639675736427307129e+00 1.635286808013916016e+00 1.652063310146331787e+00 3.782723853210839338e-24 4.962389208590729558e-10
2.815346121768139938e+02 1.201792597770690918e+00 1.592514574527740479e+00 1.673312783241271973e+00 1.640244245529174805e+00 1.635445237159729004e+00 1.664243102073669434e+00 4.519911926603969761e-22 5.450999438494678402e-10
2.823019182652210475e+02 1.192716449499130249e+00 1.593182146549224854e+00 1.675003528594970703e+00 1.640582323074340820e+00 1.635371685028076172e+00 1.675907552242279053e+00 9.136479566305973089e-21 5.984441875599609209e-10
2.830692243536280444e+02 1.184145629405975342e+00 1.593920052051544189e+00 1.676555633544921875e+00 1.640726208686828613e+00 1.635088562965393066e+00 1.687072753906250000e+00 7.851339282735502703e-20 6.566521171940279333e-10
2.838365304420350412e+02 1.176462650299072266e+00 1.594900190830230713e+00 1.678030371665954590e+00 1.640705704689025879e+00 1.634612917900085449e+00 1.697753429412841797e+00 3.402179716430401424e-18 7.201337745901182936e-10
2.846038365304420381e+02 1.168804168701171875e+00 1.595737814903259277e+00 1.679305434226989746e+00 1.640467762947082520e+00 1.633916139602661133e+00 1.707963466644287109e+00 3.582343786488234793e-17 7.893308573848120466e-10
2.853711426188490918e+02 1.161170780658721924e+00 1.596435904502868652e+00 1.680384993553161621e+00 1.640017032623291016e+00 1.633001208305358887e+00 1.717714846134185791e+00 5.014036547122905507e-16 8.647189279584061427e-10
2.861384487072560887e+02 1.153563231229782104e+00 1.596998333930969238e+00 1.681274533271789551e+00 1.639357089996337891e+00 1.631870865821838379e+00 1.727020025253295898e+00 6.810480483737228630e-15 9.468097591585190134e-10
2.869057547956630856e+02 1.145981639623641968e+00 1.597428441047668457e+00 1.681978225708007812e+00 1.638492226600646973e+00 1.630527853965759277e+00 1.735889911651611328e+00 6.235174228523742045e-14 1.036153824107365375e-09
2.876730608840700825e+02 1.138427019119262695e+00 1.597730040550231934e+00 1.682500720024108887e+00 1.637426376342773438e+00 1.628974676132202148e+00 1.744334220886230469e+00 1.210689424520387751e-12 1.133342937718875136e-09
2.884403669724771362e+02 1.130899786949157715e+00 1.597374439239501953e+00 1.682736039161682129e+00 1.636047959327697754e+00 1.627019882202148438e+00 1.751234531402587891e+00 8.318613761468144676e-12 1.239013057882520232e-09
2.892076730608840762e+02 1.123400181531906128e+00 1.595548212528228760e+00 1.682661294937133789e+00 1.634639620780944824e+00 1.624835252761840820e+00 1.754903256893157959e+00 8.428041534612933858e-11 1.353847254612213497e-09
2.899749791492910731e+02 1.115928947925567627e+00 1.593670725822448730e+00 1.682490944862365723e+00 1.633127093315124512e+00 1.622516751289367676e+00 1.758347034454345703e+00 4.964819516263502292e-10 1.478578855810609748e-09
2.907422852376980700e+02 1.108486294746398926e+00 1.591744840145111084e+00 1.682227969169616699e+00 1.631514906883239746e+00 1.620070099830627441e+00 1.761568844318389893e+00 2.573804753961644447e-09 1.613994778661714951e-09
2.915095913261050669e+02 1.101072728633880615e+00 1.589772343635559082e+00 1.681875228881835938e+00 1.629808545112609863e+00 1.617499709129333496e+00 1.764572501182556152e+00 1.493073144286697119e-08 1.760939056039235755e-09
2.922768974145121206e+02 1.093688547611236572e+00 1.587755739688873291e+00 1.681435585021972656e+00 1.628012299537658691e+00 1.614810943603515625e+00 1.767360806465148926e+00 5.719517180984300804e-08 1.920316567702241632e-09
2.930442035029191175e+02 1.086334049701690674e+00 1.585696935653686523e+00 1.680911660194396973e+00 1.626131057739257812e+00 1.612009048461914062e+00 1.769937157630920410e+00 1.853023352793891042e-07 2.093096986446734187e-09
2.938115095913261143e+02 1.079009503126144409e+00 1.584175288677215576e+00 1.680166006088256836e+00 1.623688101768493652e+00 1.608687162399291992e+00 1.773336172103881836e+00 7.666535946622136538e-07 2.280318949789124692e-09
2.945788156797331112e+02 1.071715354919433594e+00 1.584058701992034912e+00 1.678343176841735840e+00 1.618630170822143555e+00 1.602825999259948730e+00 1.778494834899902344e+00 1.853139616346949373e-06 2.483094468176463602e-09
2.953461217681401649e+02 1.064451783895492554e+00 1.583711683750152588e+00 1.676077365875244141e+00 1.613117933273315430e+00 1.596474170684814453e+00 1.782678008079528809e+00 6.544600000000171087e-06 2.702613581149957924e-09
2.961134278565471618e+02 1.057219088077545166e+00 1.583172023296356201e+00 1.673421859741210938e+00 1.607247114181518555e+00 1.589735150337219238e+00 1.786002516746520996e+00 1.668228773978345044e-05 2.940149273330232331e-09
2.968807339449541587e+02 1.050722777843475342e+00 1.582670390605926514e+00 1.670488834381103516e+00 1.601083874702453613e+00 1.582608580589294434e+00 1.788505554199218750e+00 3.083149541284379495e-05 3.197062662547494582e-09
2.976480400333611556e+02 1.044371157884597778e+00 1.582082331180572510e+00 1.667258143424987793e+00 1.594637989997863770e+00 1.575152277946472168e+00 1.790223717689514160e+00 8.074943953294405337e-05 3.474808472906620779e-09
