# wavelength[nm] Solar Irradiance[W/m^2/nm] BB intensity@1300K[W/m^2/nm] Au  SiC  B4C  TiN  ZrN 
2.800000000000000000e+02 4.730900000000000068e-23 4.515082739444385357e-10 1.778815567493438721e+00 1.468875885009765625e+00 1.512649536132812500e+00 1.638206362724304199e+00 1.616830527782440186e+00
2.807673060884069969e+02 3.614428773978165788e-21 4.962389208590729558e-10 1.785866498947143555e+00 1.466774463653564453e+00 1.509530782699584961e+00 1.637915372848510742e+00 1.618442714214324951e+00
2.815346121768139938e+02 2.284734945787534482e-19 5.450999438494678402e-10 1.792637050151824951e+00 1.464590787887573242e+00 1.506370902061462402e+00 1.637464165687561035e+00 1.619880259037017822e+00
2.823019182652210475e+02 3.216848540450606209e-18 5.984441875599609209e-10 1.799034476280212402e+00 1.462356448173522949e+00 1.503165960311889648e+00 1.636853814125061035e+00 1.621146142482757568e+00
2.830692243536280444e+02 2.079289074228500276e-17 6.566521171940279333e-10 1.805113911628723145e+00 1.460070848464965820e+00 1.499915838241577148e+00 1.636086583137512207e+00 1.622434496879577637e+00
2.838365304420350412e+02 5.006739115930002659e-16 7.201337745901182936e-10 1.810927867889404297e+00 1.457700371742248535e+00 1.496613025665283203e+00 1.635163545608520508e+00 1.623894512653350830e+00
2.846038365304420381e+02 3.633741284403260174e-15 7.893308573848120466e-10 1.816477060317993164e+00 1.455245018005371094e+00 1.493253588676452637e+00 1.634087085723876953e+00 1.625195324420928955e+00
2.853711426188490918e+02 3.369637848207028633e-14 8.647189279584061427e-10 1.821762144565582275e+00 1.452704429626464844e+00 1.489835143089294434e+00 1.632859230041503906e+00 1.626340210437774658e+00
2.861384487072560887e+02 3.310530775646711627e-13 9.468097591585190134e-10 1.826783657073974609e+00 1.450079083442687988e+00 1.486361384391784668e+00 1.631482362747192383e+00 1.627332925796508789e+00
2.869057547956630856e+02 2.378856613844861064e-12 1.036153824107365375e-09 1.831542134284973145e+00 1.447368860244750977e+00 1.482821226119995117e+00 1.629958868026733398e+00 1.628177583217620850e+00
2.876730608840700825e+02 2.870542702251780172e-11 1.133342937718875136e-09 1.836038053035736084e+00 1.444574356079101562e+00 1.479212045669555664e+00 1.628291249275207520e+00 1.628877818584442139e+00
2.884403669724771362e+02 1.585862477064264896e-10 1.239013057882520232e-09 1.839666724205017090e+00 1.442068099975585938e+00 1.475858807563781738e+00 1.626627683639526367e+00 1.628959953784942627e+00
2.892076730608840762e+02 1.190757172643966339e-09 1.353847254612213497e-09 1.841636538505554199e+00 1.440539956092834473e+00 1.473508000373840332e+00 1.625486493110656738e+00 1.627690732479095459e+00
2.899749791492910731e+02 5.819540617180929406e-09 1.478578855810609748e-09 1.843441426753997803e+00 1.438948750495910645e+00 1.471071004867553711e+00 1.624292492866516113e+00 1.626357793807983398e+00
2.907422852376980700e+02 2.408932944120108607e-08 1.613994778661714951e-09 1.845082521438598633e+00 1.437297344207763672e+00 1.468551754951477051e+00 1.623048424720764160e+00 1.624963343143463135e+00
2.915095913261050669e+02 1.121833027522809861e-07 1.760939056039235755e-09 1.846560716629028320e+00 1.435588240623474121e+00 1.465953469276428223e+00 1.621756792068481445e+00 1.623509943485260010e+00
2.922768974145121206e+02 3.561041701417926850e-07 1.920316567702241632e-09 1.847877740859985352e+00 1.433824300765991211e+00 1.463272213935852051e+00 1.620420455932617188e+00 1.621999621391296387e+00
2.930442035029191175e+02 9.889637864886938643e-07 2.093096986446734187e-09 1.849034428596496582e+00 1.432008743286132812e+00 1.460519194602966309e+00 1.619041442871093750e+00 1.620434582233428955e+00
2.938115095913261143e+02 3.456741618014993186e-06 2.280318949789124692e-09 1.850446105003356934e+00 1.429488658905029297e+00 1.456959843635559082e+00 1.617063164710998535e+00 1.619319617748260498e+00
2.945788156797331112e+02 7.489425354462029465e-06 2.483094468176463602e-09 1.852054953575134277e+00 1.424620270729064941e+00 1.450520634651184082e+00 1.612848281860351562e+00 1.619358658790588379e+00
2.953461217681401649e+02 2.304469557965026290e-05 2.702613581149957924e-09 1.853035330772399902e+00 1.419530034065246582e+00 1.443817496299743652e+00 1.608366489410400391e+00 1.619115531444549561e+00
2.961134278565471618e+02 5.322172477064301461e-05 2.940149273330232331e-09 1.853518605232238770e+00 1.414225101470947266e+00 1.436887264251708984e+00 1.603653669357299805e+00 1.618627071380615234e+00
2.968807339449541587e+02 9.072816513761404879e-05 3.197062662547494582e-09 1.853443503379821777e+00 1.408722996711730957e+00 1.429749608039855957e+00 1.598726391792297363e+00 1.618086934089660645e+00
2.976480400333611556e+02 2.168131109257713345e-04 3.474808472906620779e-09 1.852825880050659180e+00 1.403039932250976562e+00 1.422423481941223145e+00 1.593600392341613770e+00 1.617404639720916748e+00
2.984153461217681524e+02 3.463753794828979080e-04 3.774940806054929866e-09 1.851682543754577637e+00 1.397191643714904785e+00 1.414931654930114746e+00 1.588290333747863770e+00 1.616570234298706055e+00
2.991826522101752062e+02 6.267502502085235249e-04 4.099119224411857593e-09 1.850029468536376953e+00 1.391193270683288574e+00 1.407287359237670898e+00 1.582810759544372559e+00 1.615592479705810547e+00
2.999499582985821462e+02 1.004504670558794503e-03 4.449115160621941370e-09 1.847882866859436035e+00 1.385058641433715820e+00 1.399507641792297363e+00 1.577174544334411621e+00 1.614479541778564453e+00
3.007172643869891431e+02 1.542652210175135367e-03 4.826818668008420975e-09 1.845259308815002441e+00 1.378809452056884766e+00 1.391608834266662598e+00 1.571394681930541992e+00 1.613239169120788574e+00
