# wavelength[nm] Solar Irradiance[W/m^2/nm] BB intensity@1273.15K[W/m^2/nm] Au (3e-08 m core + 1.5e-08 m shell) SiC (8e-08 m core + 2e-08 m shell) B4C (8e-08 m core + 3e-08 m shell) TiN (5e-08 m core + 1.25e-08 m shell) ZrN (3.5e-08 m core + 1e-08 m shell) CeO2 (5e-08 m core + 1e-08 m shell) Au (1.5e-08 m core + 1.5e-08 m shell)
2.800000000000000000e+02 4.730900000000000068e-23 1.959843708570751853e-10 1.778815567493438721e+00 1.468875885009765625e+00 1.512649536132812500e+00 1.638206362724304199e+00 1.616830527782440186e+00 1.647399783134460449e+00 1.941220223903656006e+00
2.807673060884069969e+02 3.614428773978165788e-21 2.158922586156035170e-10 1.785866498947143555e+00 1.466774463653564453e+00 1.509530782699584961e+00 1.637915372848510742e+00 1.618442714214324951e+00 1.650597333908081055e+00 1.931685149669647217e+00
2.815346121768139938e+02 2.284734945787534482e-19 2.376881357838783777e-10 1.792637050151824951e+00 1.464590787887573242e+00 1.506370902061462402e+00 1.637464165687561035e+00 1.619880259037017822e+00 1.653469562530517578e+00 1.922107040882110596e+00
2.823019182652210475e+02 3.216848540450606209e-18 2.615379926942349942e-10 1.799034476280212402e+00 1.462356448173522949e+00 1.503165960311889648e+00 1.636853814125061035e+00 1.621146142482757568e+00 1.656028389930725098e+00 1.913081288337707520e+00
2.830692243536280444e+02 2.079289074228500276e-17 2.876212279249500540e-10 1.805113911628723145e+00 1.460070848464965820e+00 1.499915838241577148e+00 1.636086583137512207e+00 1.622434496879577637e+00 1.658284306526184082e+00 1.904333472251892090e+00
2.838365304420350412e+02 5.006739115930002659e-16 3.161316316382076241e-10 1.810927867889404297e+00 1.457700371742248535e+00 1.496613025665283203e+00 1.635163545608520508e+00 1.623894512653350830e+00 1.660246491432189941e+00 1.895553529262542725e+00
2.846038365304420381e+02 3.633741284403260174e-15 3.472784333183891932e-10 1.816477060317993164e+00 1.455245018005371094e+00 1.493253588676452637e+00 1.634087085723876953e+00 1.625195324420928955e+00 1.661924242973327637e+00 1.886743426322937012e+00
2.853711426188490918e+02 3.369637848207028633e-14 3.812874175850040859e-10 1.821762144565582275e+00 1.452704429626464844e+00 1.489835143089294434e+00 1.632859230041503906e+00 1.626340210437774658e+00 1.663325548171997070e+00 1.877906024456024170e+00
2.861384487072560887e+02 3.310530775646711627e-13 4.184021119297938745e-10 1.826783657073974609e+00 1.450079083442687988e+00 1.486361384391784668e+00 1.631482362747192383e+00 1.627332925796508789e+00 1.664457917213439941e+00 1.869042873382568359e+00
2.869057547956630856e+02 2.378856613844861064e-12 4.588850504093014558e-10 1.831542134284973145e+00 1.447368860244750977e+00 1.482821226119995117e+00 1.629958868026733398e+00 1.628177583217620850e+00 1.665328502655029297e+00 1.860157012939453125e+00
2.876730608840700825e+02 2.870542702251780172e-11 5.030191175122503732e-10 1.836038053035736084e+00 1.444574356079101562e+00 1.479212045669555664e+00 1.628291249275207520e+00 1.628877818584442139e+00 1.665943980216979980e+00 1.851249694824218750e+00
2.884403669724771362e+02 1.585862477064264896e-10 5.511089766162060267e-10 1.839666724205017090e+00 1.442068099975585938e+00 1.475858807563781738e+00 1.626627683639526367e+00 1.628959953784942627e+00 1.666119694709777832e+00 1.842659413814544678e+00
2.892076730608840762e+02 1.190757172643966339e-09 6.034825876495915464e-10 1.841636538505554199e+00 1.440539956092834473e+00 1.473508000373840332e+00 1.625486493110656738e+00 1.627690732479095459e+00 1.665947318077087402e+00 1.835547685623168945e+00
2.899749791492910731e+02 5.819540617180929406e-09 6.604928187840924869e-10 1.843441426753997803e+00 1.438948750495910645e+00 1.471071004867553711e+00 1.624292492866516113e+00 1.626357793807983398e+00 1.665650248527526855e+00 1.828415095806121826e+00
2.907422852376980700e+02 2.408932944120108607e-08 7.225191571981029853e-10 1.845082521438598633e+00 1.437297344207763672e+00 1.468551754951477051e+00 1.623048424720764160e+00 1.624963343143463135e+00 1.665234446525573730e+00 1.821262776851654053e+00
2.915095913261050669e+02 1.121833027522809861e-07 7.899695241752733906e-10 1.846560716629028320e+00 1.435588240623474121e+00 1.465953469276428223e+00 1.621756792068481445e+00 1.623509943485260010e+00 1.664705514907836914e+00 1.814092218875885010e+00
2.922768974145121206e+02 3.561041701417926850e-07 8.632822000325209357e-10 1.847877740859985352e+00 1.433824300765991211e+00 1.463272213935852051e+00 1.620420455932617188e+00 1.621999621391296387e+00 1.664068818092346191e+00 1.806904673576354980e+00
2.930442035029191175e+02 9.889637864886938643e-07 9.429278646099788318e-10 1.849034428596496582e+00 1.432008743286132812e+00 1.460519194602966309e+00 1.619041442871093750e+00 1.620434582233428955e+00 1.663329601287841797e+00 1.799701929092407227e+00
2.938115095913261143e+02 3.456741618014993186e-06 1.029411759301069241e-09 1.850446105003356934e+00 1.429488658905029297e+00 1.456959843635559082e+00 1.617063164710998535e+00 1.619319617748260498e+00 1.662153959274291992e+00 1.792484939098358154e+00
2.945788156797331112e+02 7.489425354462029465e-06 1.123275976854069748e-09 1.852054953575134277e+00 1.424620270729064941e+00 1.450520634651184082e+00 1.612848281860351562e+00 1.619358658790588379e+00 1.658836483955383301e+00 1.785255074501037598e+00
2.953461217681401649e+02 2.304469557965026290e-05 1.225101885438247174e-09 1.853035330772399902e+00 1.419530034065246582e+00 1.443817496299743652e+00 1.608366489410400391e+00 1.619115531444549561e+00 1.654983758926391602e+00 1.778026103973388672e+00
